water_level,water_level_6h_ago,water_level_12h_ago,water_level_24h_ago,rain_6h,rain_24h,upstream_level,upstream_change,temperature,target_water_level_24h
8.10,7.92,7.74,7.45,3,42,8.35,0.18,29,8.52
7.80,7.70,7.55,7.30,1,18,8.00,0.10,30,7.95
7.20,7.05,6.90,6.80,2,25,7.45,0.12,28,7.42
6.90,6.88,6.75,6.60,0,8,7.10,0.05,27,6.96
8.70,8.30,7.90,7.20,15,110,9.10,0.35,28,9.20
7.50,7.20,6.95,6.50,10,70,8.00,0.25,29,8.05
6.10,5.95,5.80,5.60,4,35,6.30,0.08,30,6.20
5.80,5.60,5.40,5.20,8,55,6.20,0.15,29,6.05
24.80,24.55,24.30,23.95,4,40,25.10,0.20,28,25.12
23.90,23.70,23.50,23.20,2,20,24.20,0.10,29,24.02
5.20,4.98,4.75,4.40,5,55,5.50,0.17,29,5.55
4.90,4.80,4.70,4.55,1,12,5.10,0.06,30,4.96
